round,amount,first,second,third,,cyb,dlp,str
1,5.00 ,2.77 ,1.12 ,1.11 ,,2.77 ,1.12 ,1.11 
2,5.00 ,2.86 ,1.12 ,1.02 ,,2.86 ,1.12 ,1.02 
3,5.00 ,2.16 ,1.66 ,1.18 ,,2.16 ,1.66 ,1.18 
4,5.00 ,1.48 ,0.17 ,3.35 ,,1.48 ,0.17 ,3.35 
5,5.00 ,2.48 ,0.99 ,1.53 ,,2.48 ,0.99 ,1.53 
6,5.00 ,3.13 ,0.20 ,1.67 ,,3.13 ,0.20 ,1.67 
7,5.00 ,2.88 ,1.76 ,0.36 ,,2.88 ,1.76 ,0.36 
8,5.00 ,0.94 ,3.31 ,0.75 ,,0.94 ,3.31 ,0.75 
9,5.00 ,0.83 ,0.85 ,3.32 ,,0.83 ,0.85 ,3.32 
10,5.00 ,1.58 ,1.69 ,1.73 ,,1.58 ,1.69 ,1.73 
11,5.00 ,0.82 ,0.28 ,3.90 ,,0.82 ,0.28 ,3.90 
12,5.00 ,0.16 ,0.45 ,4.39 ,,0.16 ,0.45 ,4.39 
13,5.00 ,0.16 ,4.44 ,0.40 ,,0.16 ,4.44 ,0.40 
14,5.00 ,0.23 ,2.38 ,2.39 ,,0.23 ,2.38 ,2.39 
15,5.00 ,1.30 ,1.83 ,1.87 ,,1.30 ,1.83 ,1.87 
16,5.00 ,2.81 ,1.76 ,0.43 ,,2.81 ,1.76 ,0.43 
17,5.00 ,1.44 ,1.56 ,2.00 ,,1.44 ,1.56 ,2.00 
18,5.00 ,3.26 ,0.72 ,1.02 ,,3.26 ,0.72 ,1.02 
19,5.00 ,2.34 ,1.01 ,1.65 ,,2.34 ,1.01 ,1.65 
20,5.00 ,0.65 ,2.11 ,2.24 ,,0.65 ,2.11 ,2.24 
21,5.00 ,2.46 ,0.12 ,2.42 ,,2.46 ,0.12 ,2.42 
22,5.00 ,2.42 ,0.89 ,1.69 ,,2.42 ,0.89 ,1.69 
23,5.00 ,1.98 ,2.01 ,1.01 ,,1.98 ,2.01 ,1.01 
24,5.00 ,0.76 ,1.97 ,2.27 ,,0.76 ,1.97 ,2.27 
25,5.00 ,2.53 ,1.55 ,0.92 ,,2.53 ,1.55 ,0.92 
26,5.00 ,2.23 ,2.63 ,0.14 ,,2.23 ,2.63 ,0.14 
27,5.00 ,0.89 ,3.92 ,0.19 ,,0.89 ,3.92 ,0.19 
28,5.00 ,1.22 ,0.43 ,3.35 ,,1.22 ,0.43 ,3.35 
29,5.00 ,0.52 ,2.28 ,2.20 ,,0.52 ,2.28 ,2.20 
30,5.00 ,1.44 ,3.49 ,0.07 ,,1.44 ,3.49 ,0.07 
31,5.00 ,0.84 ,1.09 ,3.07 ,,0.84 ,1.09 ,3.07 
32,5.00 ,3.05 ,0.47 ,1.48 ,,3.05 ,0.47 ,1.48 
33,5.00 ,2.60 ,0.49 ,1.91 ,,2.60 ,0.49 ,1.91 
34,5.00 ,2.54 ,2.37 ,0.09 ,,2.37 ,0.09 ,2.54 
35,5.00 ,1.01 ,1.12 ,2.87 ,,1.12 ,2.87 ,1.01 
36,5.00 ,0.38 ,0.91 ,3.71 ,,0.91 ,3.71 ,0.38 
37,5.00 ,2.95 ,0.56 ,1.49 ,,0.56 ,1.49 ,2.95 
38,5.00 ,0.75 ,1.05 ,3.20 ,,1.05 ,3.20 ,0.75 
39,5.00 ,3.21 ,0.17 ,1.62 ,,0.17 ,1.62 ,3.21 
40,5.00 ,2.92 ,1.92 ,0.16 ,,1.92 ,0.16 ,2.92 
41,5.00 ,3.02 ,0.09 ,1.89 ,,0.09 ,1.89 ,3.02 
42,5.00 ,2.59 ,2.23 ,0.18 ,,2.23 ,0.18 ,2.59 
43,5.00 ,1.41 ,2.34 ,1.25 ,,2.34 ,1.25 ,1.41 
44,5.00 ,2.98 ,1.90 ,0.12 ,,1.90 ,0.12 ,2.98 
45,5.00 ,2.24 ,1.84 ,0.92 ,,1.84 ,0.92 ,2.24 
46,5.00 ,2.03 ,1.65 ,1.32 ,,1.65 ,1.32 ,2.03 
47,5.00 ,1.50 ,2.72 ,0.78 ,,2.72 ,0.78 ,1.50 
48,5.00 ,2.83 ,1.95 ,0.22 ,,1.95 ,0.22 ,2.83 
49,5.00 ,2.61 ,1.84 ,0.55 ,,1.84 ,0.55 ,2.61 
50,5.00 ,0.38 ,0.24 ,4.38 ,,0.24 ,4.38 ,0.38 
51,5.00 ,0.16 ,2.35 ,2.49 ,,2.35 ,2.49 ,0.16 
52,5.00 ,2.10 ,1.12 ,1.78 ,,1.12 ,1.78 ,2.10 
53,5.00 ,0.74 ,4.24 ,0.02 ,,4.24 ,0.02 ,0.74 
54,5.00 ,1.34 ,1.22 ,2.44 ,,1.22 ,2.44 ,1.34 
55,5.00 ,2.16 ,2.52 ,0.32 ,,2.52 ,0.32 ,2.16 
56,5.00 ,2.30 ,2.32 ,0.38 ,,2.32 ,0.38 ,2.30 
57,5.00 ,0.33 ,3.16 ,1.51 ,,3.16 ,1.51 ,0.33 
58,5.00 ,1.20 ,1.87 ,1.93 ,,1.87 ,1.93 ,1.20 
59,5.00 ,1.17 ,3.75 ,0.08 ,,3.75 ,0.08 ,1.17 
60,5.00 ,2.26 ,1.41 ,1.33 ,,1.41 ,1.33 ,2.26 
61,5.00 ,2.79 ,1.36 ,0.85 ,,1.36 ,0.85 ,2.79 
62,5.00 ,1.15 ,0.68 ,3.17 ,,0.68 ,3.17 ,1.15 
63,5.00 ,2.23 ,1.20 ,1.57 ,,1.20 ,1.57 ,2.23 
64,5.00 ,2.62 ,0.17 ,2.21 ,,0.17 ,2.21 ,2.62 
65,5.00 ,1.22 ,1.96 ,1.82 ,,1.96 ,1.82 ,1.22 
66,5.00 ,0.71 ,0.21 ,4.08 ,,0.21 ,4.08 ,0.71 
67,5.00 ,2.01 ,1.23 ,1.76 ,,1.76 ,1.23 ,2.01 
68,5.00 ,0.95 ,3.42 ,0.63 ,,0.63 ,0.95 ,3.42 
